mergeable,commits,additions,deletions,changed_files,open_issues_count,watchers_count,forks_count,has_discussions,has_wiki,has_projects,stargazers_count,title_size,merged,language
1,2,8,2,1,0,0,0,0,1,1,0,48,1,javascript
1,2,9,5,4,16,15,15,1,1,1,15,46,1,ruby
1,2,18,1,2,136,1595,1595,0,0,1,1595,26,1,java
1,2,20,18,4,26,0,0,0,1,1,0,31,1,c#
1,2,34,17,8,0,0,0,0,1,1,0,5,1,html
1,2,49,6,2,13,1,1,0,1,1,1,49,0,r
1,2,81,4,6,1,0,0,0,1,1,0,53,1,html
1,2,89,89,10,1,2,2,0,1,1,2,43,1,go
1,2,144,43,8,0,0,0,0,1,1,0,16,1,javascript
1,2,231,822,9,0,0,0,0,1,1,0,7,1,typescript
1,2,827,804,6,12,0,0,0,1,1,0,30,1,typescript
1,2,2038,1652,68,0,0,0,0,1,1,0,22,1,java
1,3,4,2,1,125,14930,14930,0,1,1,14930,34,1,python
1,3,17,17,8,0,2,2,0,1,1,2,11,1,ruby
1,3,18,11,5,1,0,0,0,1,1,0,9,1,python
1,3,46,1,9,47,329,329,1,1,1,329,71,1,go
1,3,88,49,15,23,20238,20238,1,1,1,20238,38,1,python
1,3,138,59,6,0,0,0,0,1,1,0,21,1,javascript
1,3,147,19,7,0,0,0,0,1,1,0,29,1,python
1,3,188,4,11,0,1,1,0,1,1,1,8,1,java
1,3,343,82,5,0,0,0,0,1,1,0,41,1,go
1,4,5,4,3,3,18,18,0,0,0,18,39,1,shell
1,4,47,5,9,0,0,0,0,1,1,0,9,1,ruby
1,4,49,2942,45,56,0,0,0,1,1,0,7,1,java
1,4,159,0,2,10578,60513,60513,0,1,1,60513,30,0,c++
1,4,672,77,10,30,0,0,1,1,1,0,43,1,typescript
1,5,2,1,2,1012,73,73,0,1,1,73,43,1,html
1,6,65,26,11,1,0,0,0,0,1,0,30,1,go
1,6,289,43,25,0,0,0,0,0,1,0,33,1,php
1,6,312,118,17,0,0,0,0,1,1,0,17,1,python
1,6,410,184,19,80,9,9,0,1,1,9,31,1,haskell
1,7,92,27,11,3,0,0,0,1,1,0,28,1,typescript
1,7,542,84,8,21,0,0,0,1,1,0,26,1,css
1,7,709,40,15,0,0,0,0,1,1,0,53,1,typescript
1,8,6,24,2,516,2982,2982,1,0,1,2982,23,1,go
